100% leið	100%-leið
10. bekkinga	10.-bekkinga
110% leið	110%-leið
A4 blaði	A4-blaði
A deild	A-deild
ADHD greining	ADHD-greining
ADHD lyf	ADHD-lyf
ADHD röskun	ADHD-röskun
ADHD samtaka	ADHD-samtaka
ADHD samtök	ADHD-samtök
ADHD teymi	ADHD-teymi
A flokk	A-flokk
AGS áætlun	AGS-áætlun
AGS lán	AGS-lán
AGS plan	AGS-plan
A hluta	A-hluta
A hluti	A-hluti
Airbnb gisting	Airbnb-gisting
Airbnb íbúðir	Airbnb-íbúðir
Airbnb starfsemi	Airbnb-starfsemi
a lið	a-lið
A lista	A-lista
A listi	A-listi
alzheimer sjúkling	alzheimer-sjúkling
ART verkefni	ART-verkefni
ART þjálfun	ART-þjálfun
ART þjónust	ART-þjónust
ASÍ félag	ASÍ-félag
ASÍ töxtum	ASÍ-töxtum
ASÍ þing	ASÍ-þing
A svæði	A-svæði
ÁTVR búð	ÁTVR-búð
ÁTVR leið	ÁTVR-leið
auka Alþingi	auka-Alþingi
Austara Eylendi	Austara-Eylendi
Austari Jökulsá	Austari-Jökulsá
Austur Afríku	Austur-Afríku
Austur Asíu	Austur-Asíu
Austur Barðastrandarsýslu	Austur-Barðastrandarsýslu
Austur Evrópa	Austur-Evrópa
austur evrópsk	austur-evrópsk
Austur Evrópu	Austur-Evrópu
Austur Flóa	Austur-Flóa
Austur Ghouta	Austur-Ghouta
Austur Grænland	Austur-Grænland
Austur Húnavatnssýslu	Austur-Húnavatnssýslu
Austur Húnvetning	Austur-Húnvetning
Austur Íslandsstraum	Austur-Íslandsstraum
Austur Jerúsalem	Austur-Jerúsalem
Austur Skaftafellssýslu	Austur-Skaftafellssýslu
Austur Skaftfellinga	Austur-Skaftfellinga
Austur Tímor	Austur-Tímor
Austur Úkraínu	Austur-Úkraínu
Austur Þjóðverjar	Austur-Þjóðverjar
austur þýsk	austur-þýsk
Austur Þýskaland	Austur-Þýskaland
Avens samkomulag	Avens-samkomulag
Avens viðskipt	Avens-viðskipt
AVS sjóð	AVS-sjóð
B1 leið	B1-leið
BA gráðu	BA-gráðu
Balí fund	Balí-fund
BA nám	BA-nám
BA próf	BA-próf
BA ritgerð	BA-ritgerð
Basel nefnd	Basel-nefnd
Basel reglur	Basel-reglur
B deild	B-deild
B.Ed. gráðu	B.Ed.-gráðu
Benelux lönd	Benelux-lönd
BEPS áætlun	BEPS-áætlun
B flokk	B-flokk
b hlut	b-hlut
B hlut	B-hlut
BHM félaga	BHM-félaga
BHM félögum	BHM-félögum
B leið	B-leið
b lið	b-lið
B lið	B-lið
Bloomberg frétta	Bloomberg-frétta
Bologna ferli	Bologna-ferli
Bosnía Hersegóvína	Bosnía-Hersegóvína
Bosníu Hersegóvínu	Bosníu-Hersegóvínu
Brexit ferli	Brexit-ferli
Brexit kosning	Brexit-kosning
Brussel sáttmál	Brussel-sáttmál
Brussel valdi	Brussel-valdi
Brussel viðmið	Brussel-viðmið
BS gráðu	BS-gráðu
BS nám	BS-nám
BS próf	BS-próf
BSRB félaga	BSRB-félaga
B svæði	B-svæði
Bush stjórn	Bush-stjórn
