afgr.	afgreitt 
allshn.	allsherjarnefnd
alþb.	alþýðubandalagið
alþfl.	alþýðuflokkurinn
alþm.	alþingismaður 
alþt.	alþingistíðindi 
aths.	athugasemd 
atkv.	atkvæði 
atkvgr.	atkvæðagreiðsla
austurl.	austurlandskjördæmi
ákv. til brb.	ákvæði til bráðabirgða 
brbl.	bráðabirgðalög 
breyt.	breyting 
brtt.	breytingartillaga 
db.	dagbókarerindi 
dómsmrh.	dómsmálaráðherra 
dómsmrn.	dómsmálaráðuneyti 
efh.	efnahags
skattn.	skattanefnd 
efnismgr.	efnismálsgrein 
félmrh.	félagsmálaráðherra 
félmrn.	félagsmálaráðuneyti 
fél.	félags
félmn.	félagsmálanefnd
fjárln.	fjárlaganefnd 
fjmrh.	fjármálaráðherra 
fjmrn.	fjármálaráðuneyti 
flm.	flutningsmaður 
form.	formaður 
forsn.	forsætisnefnd 
forsrh.	forsætisráðherra 
forsrn.	forsætisráðuneyti 
framsfl.	framsóknarflokkur 
frávtill.	frávísunartillaga 
frhnál.	framhaldsnefndarálit 
frjálsl.	frjálslyndi flokkurinn 
frsm.	framsögumaður 
frv.	frumvarp 
frvgr.	frumvarpsgrein 
fskj.	fylgiskjal 
fsp.	fyrirspurn
fylgifrv.	fylgifrumvarp
fyrirsp.	fyrirspyrjandi 
fyrrv.	fyrrverandi 
gr.	grein 
grg.	greinargerð 
hagstrh.	ráðherra hagstofu íslands 
heilbrn.	heilbrigðisnefnd 
heilbr.	heilbrigðis
heilbrrh.	heilbrigðisráðherra
heilbrrn.	heilbrigðisráðuneyti
hv.	háttvirtur 
hæstv.	hæstvirtur
iðn.	iðnaðar
iðnn.	iðnaðarnefnd 
iðnrh.	iðnaðarráðherra 
iðnrn.	iðnaðarráðuneyti 
kirkjumrh.	kirkjumálaráðherra
kirkjumrn.	kirkjumálaráðuneyti
kjörbn.	kjörbréfanefnd 
l.	lög 
lagafrv.	lagafrumvarp 
landbn.	landbúnaðarnefnd 
landbrh.	landbúnaðarráðherra 
landbrn.	landbúnaðarráðuneyti 
lögþ.	löggjafarþing 
málsl.	málsliður
meðflm.	meðflutningsmaður
menntmn.	menntamálanefnd 
menntmrh.	menntamálaráðherra 
menntmrn.	menntamálaráðuneyti 
mgr.	málsgrein
nál.	nefndarálit
norðaust.	norðausturkjördæmi 
norðvest.	norðvesturkjördæmi 
norðurl. e.	norðurlandskjördæmi eystra
norðurl. v.	norðurlandskjördæmi vestra
núv. 	núverandi
reykn.	reykjaneskjördæmi
reykv.	reykjavíkurkjördæmi
reykv. n.	reykjavíkurkjördæmi norður 
reykv. s.	reykjavíkurkjördæmi suður 
rökst.	rökstudd 
rg.	reglugerð 
samf.	samfylkingin 
samgn.	samgöngunefnd 
samgrh.	samgönguráðherra 
samgrn.	samgönguráðuneyti 
samstrh.	ráðherra norrænna samstarfsmála 
samþ.	samþykkt 
sbr.	samanber 
sérn.	sérnefnd 
shlj.	samhljóða 
sjálfstfl.	sjálfstæðisflokkur 
sjútv.	sjávarútvegs 
sjútvrh.	sjávarútvegsráðherra 
sjútvrn.	sjávarútvegsráðuneyti 
skv.	samkvæmt 
stafl.	stafliður 
stjfrv.	stjórnarfrumvarp 
stjskr.	stjórnarskrá 
stjskrn.	stjórnarskrárnefnd 
stjskl.	stjórnarskipunarlög 
stjtill.	stjórnartillaga 
stjtíð.	stjórnartíðindi 
suðurk.	suðurkjördæmi
suðurl.	suðurlandskjördæmi
suðvest.	suðvesturkjördæmi 
till.	tillaga 
tillgr.	tillögugrein
trmrh.	tryggingamálaráðherra
trmrn.	tryggingamálaráðuneyti 
trn.	trygginganefnd 
tölul.	töluliður 
umhvn.	umhverfisnefnd 
umhvrh.	umhverfisráðherra 
umhvrn.	umhverfisráðuneyti 
umr.	umræða 
utanrmn.	utanríkismálanefnd 
utanrrh.	utanríkisráðherra 
utanrrn.	utanríkisráðuneyti 
útb.	útbýtt
vesturl.	vesturlandskjördæmi
viðskn.	viðskiptanefnd
vinstri gr.	vinstri hreyfingin grænt framboð 
viðskrh.	viðskiptaráðherra 
viðskrn.	viðskiptaráðuneyti 
vþm.	varaþingmaður 
þál.	þingsályktun 
þáltill.	þingsályktunartillaga 
þm.	þingmaður 
þmfrv.	þingmannafrumvarp 
þmtill.	þingmannatillaga 
þskj.	þingskjal 
